name_method,num_global_heads,d_model,num_local_heads,d_head,sequence_len,flops,params,non_embed_params
hard_gfish,4,1024,8,128,2048,409.242543616,391988442,117556992
hard_gfish,4,1024,8,128,4096,1037.03190528,391988442,117556992
hard_gfish,4,1024,8,128,8192,2938.934367232,391988442,117556992
hard_gfish,4,2048,8,256,128,52.890849536,884337882,335742720
hard_gfish,4,2048,8,256,256,105.80387072,884337882,335742720
hard_gfish,4,2048,8,256,512,214.659465472,884337882,335742720
hard_gfish,4,2048,8,256,1024,453.125676032,884337882,335742720
hard_gfish,4,2048,8,256,2048,1018.201066496,884337882,335742720
hard_gfish,4,2048,8,256,4096,2460.6108672,884337882,335742720
hard_gfish,4,2048,8,256,8192,6599.903240192,884337882,335742720

hard_fish,2,256,8,32,128,3.709951616,88260826,19452160
hard_fish,2,256,8,32,256,7.39122784,88260826,19452160
hard_fish,2,256,8,32,512,15.037585792,88260826,19452160
hard_fish,2,256,8,32,1024,32.549169152,88260826,19452160
hard_fish,2,256,8,32,2048,77.073870336,88260826,19452160
hard_fish,2,256,8,32,4096,199.12430336,88260826,19452160
hard_fish,2,256,8,32,8192,575.899278592,88260826,19452160
hard_fish,2,512,8,64,128,8.086813568,181463770,44114176
hard_fish,2,512,8,64,256,16.107951744,181463770,44114176
hard_fish,2,512,8,64,512,32.69249728,181463770,44114176
hard_fish,2,512,8,64,1024,70.200211968,181463770,44114176
hard_fish,2,512,8,64,2048,163.821017088,181463770,44114176
hard_fish,2,512,8,64,4096,415.436475904,181463770,44114176
hard_fish,2,512,8,64,8192,1177.56836096,181463770,44114176
hard_fish,2,1024,8,128,128,18.853715392,383598298,109166848
hard_fish,2,1024,8,128,256,37.567595392,383598298,109166848
hard_fish,2,1024,8,128,512,76.055943936,383598298,109166848
hard_fish,2,1024,8,128,1024,161.59962496,383598298,109166848
hard_fish,2,1024,8,128,2048,369.509965312,383598298,109166848
hard_fish,2,1024,8,128,4096,912.477330432,383598298,109166848
hard_fish,2,1024,8,128,8192,2509.435544576,383598298,109166848
hard_fish,2,2048,8,256,128,48.44075072,850781914,302186752
hard_fish,2,2048,8,256,256,96.593330048,850781914,302186752
hard_fish,2,2048,8,256,512,194.996051968,850781914,302186752
hard_fish,2,2048,8,256,1024,408.839760384,850781914,302186752
hard_fish,2,2048,8,256,2048,909.75288064,850781914,302186752
hard_fish,2,2048,8,256,4096,2164.257077248,850781914,302186752
hard_fish,2,2048,8,256,8192,5689.685987328,850781914,302186752
hard_fish,2,4096,8,512,128,139.826740096,2036807386,939884800
hard_fish,2,4096,8,512,256,279.0698688,2036807386,939884800
hard_fish,2,4096,8,512,512,561.716486912,2036807386,939884800
hard_fish,2,4096,8,512,1024,1161.000468992,2036807386,939884800
hard_fish,2,4096,8,512,2048,2505.626786816,2036807386,939884800
hard_fish,2,4096,8,512,4096,5698.28872192,2036807386,939884800
hard_fish,2,4096,8,512,8192,14110.651174912,2036807386,939884800
hard_gfish,4,4096,8,512,128,157.2960608,2171026650,1074104064
hard_gfish,4,4096,8,512,256,314.587093248,2171026650,1074104064
hard_gfish,4,4096,8,512,512,635.068307968,2171026650,1074104064
hard_gfish,4,4096,8,512,1024,1316.965599744,2171026650,1074104064
hard_gfish,4,4096,8,512,2048,2854.59340288,2171026650,1074104064
hard_gfish,4,4096,8,512,4096,6544.399372288,2171026650,1074104064
hard_gfish,4,4096,8,512,8192,16396.062148608,2171026650,1074104064

hard_gfish,2,256,8,32,128,3.726728832,88262106,19453440
hard_gfish,2,256,8,32,256,7.458336704,88262106,19453440
hard_gfish,2,256,8,32,512,15.306021248,88262106,19453440
hard_gfish,2,256,8,32,1024,33.622910976,88262106,19453440
hard_gfish,2,256,8,32,2048,81.368837632,88262106,19453440
