,name_method,num_global_heads,d_model,num_local_heads,d_head,sequence_len,flops,params,non_embed_params,test_flops,train_flops
58,hard_fish,4,2048,8,256,512,214.391030016,884336602,335741440,214.391030016,642.8155324495583
59,hard_fish,4,2048,8,256,1024,452.051934208,884336602,335741440,452.051934208,1353.9999171739412
60,hard_fish,4,2048,8,256,2048,1013.9060992,884336602,335741440,1013.9060992,3044.6743766057634
61,hard_fish,4,2048,8,256,4096,2443.430998016,884336602,335741440,2443.430998016,7334.831794111665
62,hard_fish,4,2048,8,256,8192,6531.183763456,884336602,335741440,6531.183763456,19588.8684497342
63,hard_fish,4,4096,8,512,128,157.279283584,2171025370,1074102784,157.279283584,470.47333217061583
64,hard_fish,4,4096,8,512,256,314.519984384,2171025370,1074102784,314.519984384,944.5784723502364
65,hard_fish,4,4096,8,512,512,634.799872512,2171025370,1074102784,634.799872512,1908.757397726174
66,hard_fish,4,4096,8,512,1024,1315.89185792,2171025370,1074102784,1315.89185792,3957.995076189814
67,hard_fish,4,4096,8,512,2048,2850.298435584,2171025370,1074102784,2850.298435584,8526.56664838831
68,hard_fish,4,4096,8,512,4096,6527.219503104,2171025370,1074102784,6527.219503104,19527.154565590514
69,hard_fish,4,4096,8,512,8192,16327.342671872,2171025370,1074102784,16327.342671872,49092.25860720145
70,hard_gfish,4,256,8,32,128,3.814808,88786650,19977984,3.814808,11.428730398782127
71,hard_gfish,4,256,8,32,256,7.676459648,88786650,19977984,7.676459648,23.056932789705066
72,hard_gfish,4,256,8,32,512,15.910045568,88786650,19977984,15.910045568,47.837574795001515
73,hard_gfish,4,256,8,32,1024,35.501817344,88786650,19977984,35.501817344,106.29297373090368
74,hard_gfish,4,256,8,32,2048,87.81312128,88786650,19977984,87.81312128,264.31319848000624
75,hard_gfish,4,256,8,32,4096,239.930623488,88786650,19977984,239.930623488,721.0069941867446
76,hard_gfish,4,256,8,32,8192,734.813591808,88786650,19977984,734.813591808,2209.7292613233853
77,hard_gfish,4,512,8,64,128,8.409780544,183562458,46212864,8.409780544,25.220961351961353
78,hard_gfish,4,512,8,64,256,16.862868736,183562458,46212864,16.862868736,50.43439914072434
79,hard_gfish,4,512,8,64,512,34.638503424,183562458,46212864,34.638503424,103.70297730532052
80,hard_gfish,4,512,8,64,1024,75.837872896,183562458,46212864,75.837872896,227.80696326006554
81,hard_gfish,4,512,8,64,2048,182.068693504,183562458,46212864,182.068693504,546.3094174205881
82,hard_gfish,4,512,8,64,4096,479.861246976,183562458,46212864,479.861246976,1435.6775542806804
83,hard_gfish,4,512,8,64,8192,1418.087576064,183562458,46212864,1418.087576064,4258.974359897409
84,hard_gfish,4,1024,8,128,128,20.015556736,391988442,117556992,20.015556736,60.025026286032144
85,hard_gfish,4,1024,8,128,256,40.06744512,391988442,117556992,40.06744512,119.79559496920348
86,hard_gfish,4,1024,8,128,512,81.760055552,391988442,117556992,81.760055552,244.55766295164713
87,hard_gfish,4,1024,8,128,1024,175.828536832,391988442,117556992,175.828536832,526.3996397706894
88,hard_gfish,4,1024,8,128,2048,409.242543616,391988442,117556992,409.242543616,1226.2351604467253
89,hard_gfish,4,1024,8,128,4096,1037.03190528,391988442,117556992,1037.03190528,3119.9981510955977
90,hard_gfish,4,1024,8,128,8192,2938.934367232,391988442,117556992,2938.934367232,8831.763657800828
91,hard_gfish,4,2048,8,256,128,52.890849536,884337882,335742720,52.890849536,158.40658062419226
92,hard_gfish,4,2048,8,256,256,105.80387072,884337882,335742720,105.80387072,317.3319849499515
93,hard_gfish,4,2048,8,256,512,214.659465472,884337882,335742720,214.659465472,642.8768018139345
94,hard_gfish,4,2048,8,256,1024,453.125676032,884337882,335742720,453.125676032,1363.224225814074
95,hard_gfish,4,2048,8,256,2048,1018.201066496,884337882,335742720,1018.201066496,3057.6289576596987
96,hard_gfish,4,2048,8,256,4096,2460.6108672,884337882,335742720,2460.6108672,7387.459359232026
97,hard_gfish,4,2048,8,256,8192,6599.903240192,884337882,335742720,6599.903240192,19844.726967777176
98,hard_fish,2,256,8,32,128,3.709951616,88260826,19452160,3.709951616,11.09887739130677
99,hard_fish,2,256,8,32,256,7.39122784,88260826,19452160,7.39122784,22.14619694315974
100,hard_fish,2,256,8,32,512,15.037585792,88260826,19452160,15.037585792,44.9729299764899
101,hard_fish,2,256,8,32,1024,32.549169152,88260826,19452160,32.549169152,97.55361696512006
102,hard_fish,2,256,8,32,2048,77.073870336,88260826,19452160,77.073870336,231.4318393793074
103,hard_fish,2,256,8,32,4096,199.12430336,88260826,19452160,199.12430336,597.9026484033676
104,hard_fish,2,256,8,32,8192,575.899278592,88260826,19452160,575.899278592,1723.7454893391066
105,hard_fish,2,512,8,64,128,8.086813568,181463770,44114176,8.086813568,24.194703553859686
106,hard_fish,2,512,8,64,256,16.107951744,181463770,44114176,16.107951744,48.337752948877615
107,hard_fish,2,512,8,64,512,32.69249728,181463770,44114176,32.69249728,97.85460454210464
108,hard_fish,2,512,8,64,1024,70.200211968,181463770,44114176,70.200211968,210.91911545143856
109,hard_fish,2,512,8,64,2048,163.821017088,181463770,44114176,163.821017088,491.745714854948
110,hard_fish,2,512,8,64,4096,415.436475904,181463770,44114176,415.436475904,1245.9500636374705
111,hard_fish,2,512,8,64,8192,1177.56836096,181463770,44114176,1177.56836096,3522.427185720074
112,hard_fish,2,1024,8,128,128,18.853715392,383598298,109166848,18.853715392,56.46990157580904
113,hard_fish,2,1024,8,128,256,37.567595392,383598298,109166848,37.567595392,112.588958837982
114,hard_fish,2,1024,8,128,512,76.055943936,383598298,109166848,76.055943936,227.6517873258836
115,hard_fish,2,1024,8,128,1024,161.59962496,383598298,109166848,161.59962496,485.3565314942
116,hard_fish,2,1024,8,128,2048,369.509965312,383598298,109166848,369.509965312,1106.0612244388387
117,hard_fish,2,1024,8,128,4096,912.477330432,383598298,109166848,912.477330432,2736.5836681131204
118,hard_fish,2,1024,8,128,8192,2509.435544576,383598298,109166848,2509.435544576,7504.943649601275
119,hard_fish,2,2048,8,256,128,48.44075072,850781914,302186752,48.44075072,145.0748129055956
120,hard_fish,2,2048,8,256,256,96.593330048,850781914,302186752,96.593330048,289.4715304412558
121,hard_fish,2,2048,8,256,512,194.996051968,850781914,302186752,194.996051968,583.9855318646477
122,hard_fish,2,2048,8,256,1024,408.839760384,850781914,302186752,408.839760384,1228.6164358240594
