name_method,num_global_heads,d_model,num_local_heads,d_head,sequence_len,test_time,test_memory,train_time,train_memory
hard_gfish,2,2048,8,256,1024,0,0,0.1133568286895752,8233843200
hard_gfish,2,2048,8,256,2048,0,0,0.14477753639221191,16650670592
hard_gfish,2,4096,8,512,128,0,0,0.10936117172241211,9663428608
hard_gfish,2,4096,8,512,256,0,0,0.09042644500732422,10086144512
hard_gfish,2,4096,8,512,512,0,0,0.09430932998657227,11136780288
hard_gfish,2,4096,8,512,1024,0,0,0.1755673885345459,14094924288
hard_gfish,2,4096,8,512,2048,0,0,0.37392592430114746,23465472000
hard_fish,2,256,8,32,128,0,0,0.0540008544921875,1321178624
hard_fish,2,256,8,32,256,0,0,0.05500078201293945,1471643136
hard_fish,2,256,8,32,512,0,0,0.06592440605163574,1874156032
hard_fish,2,256,8,32,1024,0,0,0.08522439002990723,3133091840
hard_fish,2,256,8,32,2048,0,0,0.08434438705444336,7496196096
hard_fish,2,256,8,32,4096,0,0,0.5030591487884521,23454963200
hard_fish,2,512,8,64,128,0,0,0.07398676872253418,1729837056
hard_fish,2,512,8,64,256,0,0,0.10378360748291016,1893330432
hard_fish,2,512,8,64,512,0,0,0.08106827735900879,2325949440
hard_fish,2,512,8,64,1024,0,0,0.07567214965820312,3644912128
hard_fish,2,512,8,64,2048,0,0,0.09284853935241699,8126655488
hard_fish,2,512,8,64,4096,0,0,0.5220949649810791,24324099072
hard_fish,2,1024,8,128,128,0,0,0.07124948501586914,2607765504
hard_fish,2,1024,8,128,256,0,0,0.07793068885803223,2802545152
hard_fish,2,1024,8,128,512,0,0,0.07034492492675781,3294691328
hard_fish,2,1024,8,128,1024,0,0,0.09344267845153809,4732924416
hard_fish,2,1024,8,128,2048,0,0,0.17302465438842773,9454170112
hard_fish,2,1024,8,128,4096,0,0,0.6298925876617432,26127383552
hard_fish,2,2048,8,256,128,0,0,0.08399415016174316,4618654720
hard_fish,2,2048,8,256,256,0,0,0.06647157669067383,4871463424
hard_fish,2,2048,8,256,512,0,0,0.08378219604492188,5483689984
hard_fish,2,2048,8,256,1024,0,0,0.08837771415710449,7160076800
hard_fish,2,2048,8,256,2048,0,0,0.11072230339050293,12355678720
hard_fish,2,2048,8,256,4096,0,0,0.6407296657562256,29983609856
hard_fish,2,4096,8,512,128,0,0,0.09608340263366699,9646626816
hard_fish,2,4096,8,512,256,0,0,0.09215497970581055,10019011072
hard_fish,2,4096,8,512,512,0,0,0.08656930923461914,10868320256
hard_fish,2,4096,8,512,1024,0,0,0.1350727081298828,13021157888
hard_fish,2,4096,8,512,2048,0,0,0.14723873138427734,19170480128
hard_fish,4,256,8,32,128,0,0,0.05860280990600586,1326421504
hard_fish,4,256,8,32,256,0,0,0.059954166412353516,1484226048
hard_fish,4,256,8,32,512,0,0,0.06984853744506836,1912975872
hard_fish,4,256,8,32,1024,0,0,0.12223553657531738,3277795328
hard_fish,4,256,8,32,2048,0,0,0.08889198303222656,8051941376
hard_fish,4,256,8,32,4096,0,0,0.5237300395965576,25641140736
hard_fish,4,512,8,64,128,0,0,0.06164407730102539,1742419968
hard_fish,4,512,8,64,256,0,0,0.06478118896484375,1914301952
hard_fish,4,512,8,64,512,0,0,0.07950758934020996,2376281088
hard_fish,4,512,8,64,1024,0,0,0.16135215759277344,3804295680
hard_fish,4,512,8,64,2048,0,0,0.132643461227417,8705983488
hard_fish,4,512,8,64,4096,0,0,0.5450809001922607,26547080192
hard_fish,4,1024,8,128,128,0,0,0.06904816627502441,2648099840
hard_fish,4,1024,8,128,256,0,0,0.09650802612304688,2852388352
hard_fish,4,1024,8,128,512,0,0,0.07135319709777832,3377551360
hard_fish,4,1024,8,128,1024,0,0,0.0881044864654541,4934251008
hard_fish,4,1024,8,128,2048,0,0,0.10463905334472656,10091704320
hard_fish,4,1024,8,128,4096,0,0,0.5804593563079834,28442639360
hard_fish,4,2048,8,256,128,0,0,0.09383440017700195,4763358208
hard_fish,4,2048,8,256,256,0,0,0.08176422119140625,5030846976
hard_fish,4,2048,8,256,512,0,0,0.07541084289550781,5685016576
hard_fish,4,2048,8,256,1024,0,0,0.10576891899108887,7495621120
hard_fish,4,2048,8,256,2048,0,0,0.1132051944732666,13160985088
hard_fish,4,2048,8,256,4096,0,0,0.770153284072876,32533746688
hard_fish,4,4096,8,512,128,0,0,0.08613300323486328,10200857600
hard_fish,4,4096,8,512,256,0,0,0.0828697681427002,10596310528
hard_fish,4,4096,8,512,512,0,0,0.0896904468536377,11504339968
hard_fish,4,4096,8,512,1024,0,0,0.13041281700134277,13824612864
hard_fish,4,4096,8,512,2048,0,0,0.27416229248046875,20511744000
hard_fish,6,256,8,32,128,0,0,0.0565340518951416,1331664384
hard_fish,6,256,8,32,256,0,0,0.07083773612976074,1503282176
hard_fish,6,256,8,32,512,0,0,0.07300162315368652,1952821760
hard_fish,6,256,8,32,1024,0,0,0.14055728912353516,3422498816
hard_fish,6,256,8,32,2048,0,0,0.08598923683166504,8618719232
hard_fish,6,256,8,32,4096,0,0,0.5738544464111328,27841067520
hard_fish,6,512,8,64,128,0,0,0.06234574317932129,1755002880
hard_fish,6,512,8,64,256,0,0,0.06293964385986328,1942089216
hard_fish,6,512,8,64,512,0,0,0.09055399894714355,2426612736
hard_fish,6,512,8,64,1024,0,0,0.08914947509765625,3978153472
hard_fish,6,512,8,64,2048,0,0,0.13311409950256348,9298428928
hard_fish,6,512,8,64,4096,0,0,0.5922298431396484,28770061312
hard_fish,6,1024,8,128,128,0,0,0.10789108276367188,2706869248
hard_fish,6,1024,8,128,256,0,0,0.08355379104614258,2926801408
hard_fish,6,1024,8,128,512,0,0,0.06914329528808594,3497626624
hard_fish,6,1024,8,128,1024,0,0,0.08751702308654785,5183606272
hard_fish,6,1024,8,128,2048,0,0,0.09550094604492188,10748112896
hard_fish,6,1024,8,128,4096,0,0,0.6342709064483643,30777307136
hard_fish,6,2048,8,256,128,0,0,0.09378981590270996,4907573248
hard_fish,6,2048,8,256,256,0,0,0.06943702697753906,5204946432
hard_fish,6,2048,8,256,512,0,0,0.07919931411743164,5913606144
hard_fish,6,2048,8,256,1024,0,0,0.09453511238098145,7829650944
hard_fish,6,2048,8,256,2048,0,0,0.11267399787902832,13966405632
hard_fish,6,4096,8,512,128,0,0,0.08227753639221191,10765981696
hard_fish,6,4096,8,512,256,0,0,0.08377742767333984,11199241728
hard_fish,6,4096,8,512,512,0,0,0.09147405624389648,12141874176
hard_fish,6,4096,8,512,1024,0,0,0.1779041290283203,14629919232
hard_fish,6,4096,8,512,2048,0,0,0.19537663459777832,21853407744
